run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
238,4,stir fry,main,bbc,BBC Food,ok,1,1,0,2458.927500003483,0,0,0,[200]
239,4,stir fry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3187.3649999906775,0,1,1,[403]
240,4,stir fry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5196.687799994834,0,1,1,[403]
241,5,chicken curry,main,bbc,BBC Food,ok,1,1,0,3351.4634000021033,0,0,0,[200]
242,5,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3853.379500011215,0,1,1,[403]
243,5,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4066.4383999828715,0,1,1,[403]
244,5,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2318.7606999999844,0,0,0,[200]
245,5,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3346.0571999894455,0,1,1,[403]
246,5,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,7763.130800012732,0,1,1,[403]
247,5,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,3127.162999997381,0,0,0,[200]
248,5,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3887.8520999860484,0,1,1,[403]
